Country Name;1962;1967;1972;1977;1982;1987;1992;1997;2002;2007;2012;2017
Kyrgyzstan;103107;104185;-12065;-45839;-54162;-126883;-276249;-27268;-172911;-76604;-93353;-20000
Cambodia;0;-248418;-125000;-84999;-88854;-78022;409414;348495;-35156;-295987;-149999;-149999
Kiribati;-786;-917;-1120;-2342;-3011;-664;-4435;-2801;-1938;-295;-4123;-3999
South Korea;-69136;-81844;-209938;-165135;92892;170581;71418;159428;81223;-156546;401183;58657
Kuwait;137000;146600;95836;141100;115340;119768;-655000;242000;26500;479500;580000;197600
Laos;76;30;46;-198756;-35110;138;-60567;-134746;-148100;-110258;-112313;-73518
Lebanon;20000;-70002;-10000;-285201;-214378;-128038;390001;-29428;550110;-26882;1192354;-150060
Liberia;7996;7996;10996;11949;0;-359708;-290000;462952;-50000;175585;25000;-25000
Lybia;45891;48002;58665;57534;113380;5490;3965;-57368;-20569;-118555;-300002;-9997
Saint Lucia;-9187;-7795;-9703;-8971;-8009;-4285;-5031;-1541;-804;4360;0;0
Sri Lanka;-47500;-38500;-145000;-237500;-398693;-137440;-255780;-461684;-449480;-520065;-484772;-489932
Lesotho;-24999;-22399;-24048;-6538;-25760;-40195;-7839;-37212;-161218;-92476;-47704;-50234
Lithuania;24715;26314;37782;38815;43804;36863;-100301;-93925;-99104;-150930;-146217;-163902
Luxembourg;8527;5918;15284;11846;2552;12831;20040;19940;14473;42279;48704;48704
Latvia;79651;70780;54668;36327;30762;41910;-116474;-46601;-72490;-86594;-83325;-74186
Macao SAR, China;19062;33602;-10972;-10034;25146;33466;21845;27864;46284;42381;42350;25000
Morocco;-239800;-474734;-508947;-309839;-320659;-430184;-466627;-532581;-654821;-565140;-367108;-257096
Republic Moldova;100890;74449;55824;-26414;-9185;-84531;-131953;-165309;-12079;-47911;-7020;-6935
Madagascar;0;-8000;-19000;-30000;-10000;-10000;-9500;-8500;-7500;-7500;-7500;-7500
Maledives;-581;-2904;2415;0;0;-2605;-3072;-1100;17392;17994;58358;56851
Mexico;-409085;-616085;-920380;-1253817;-1273198;-1835537;-2018533;-2296470;-2206114;-562404;-422477;-300000
Macedonia;-40940;-28981;-61002;-14749;-72752;-98818;-100107;-4999;-14572;-7399;-8853;-4999
Mali;-70243;-98235;-95585;-174998;-218064;-493982;-173489;-141950;-67110;-100823;-302449;-200000
Malta;-11710;-12601;-9682;-4843;2553;1159;1630;6378;5611;5737;15505;4501
Myanmar;0;0;0;0;-54656;-200000;-713704;-537998;-1208092;-1336928;-528211;-816564
Serbia Montenegro;-2001;-53773;-2001;-7401;-2001;-29965;-20249;-21588;-7999;-683;-3112;-2400
Mongolia;0;0;0;0;0;0;-88432;-52463;-15001;-10998;-4262;-4262
Mozambique;-23500;-23500;-23500;87373;-376378;-1336060;642368;-50000;30004;-40000;-25000;-25000
Mauretania;-1820;-2760;-5950;-9700;-16100;-39998;-44622;-44003;-10004;10001;25002;25002
Mauritius;-30869;-29156;-20463;-20617;-21632;-35977;-5611;-8858;-19372;-12079;-12079;0
Malawi;0;0;-15002;13999;0;877076;-861893;-59163;-59163;-59163;-80263;-80263
Malaysia;-58601;-139279;-135303;-5443;-77285;425455;292354;516689;671473;761878;249999;249999
Namibia;0;-1078;-2696;-44298;-29069;38106;-17280;-21174;-941;8713;-37034;-24030
New Caledonia;3347;1406;8190;30;-3292;-488;6328;7075;4000;1705;3003;2510
Niger;-11545;-11545;-13763;-18138;-92946;-77917;-2679;-9944;-9497;-20001;18911;20001
Nigeria;1021;-43347;-38526;820713;-677063;-91407;-95769;-95027;-170000;-300000;-300000;-300000
Nicaragua;-14020;-19010;-37980;-58030;-110020;-150030;-120040;-145020;-174010;-155010;-135020;-106360
Nederlands;11589;54636;186745;145804;71525;139748;186409;178553;146020;65713;62687;80000
Norway;-2274;4178;15870;20728;24805;38715;46903;58773;67400;163433;221814;140000
Nepal;-70000;-21075;-5799;-41002;-101147;-216407;76064;-464703;-772525;-971580;-2040239;208549
New Zealand;54391;-2624;76678;-74794;-2908;-9418;118016;42584;134629;62413;90895;74403
Oman;-10000;-5000;25470;76409;81500;11169;104700;-193372;15000;267000;885782;437000
Pakistan;-93268;-209978;-138106;672203;1387118;139790;-1023387;470909;-650182;-339805;-1079167;-1166895
Panama;-11928;-12692;-12288;-14077;-12704;-9395;1954;9797;16119;22244;28105;56000
Peru;-29300;-48900;-82600;-94100;-175500;-280600;-354600;-255800;-909782;-1202758;-624809;495345
Philipines;-218063;-470430;-375090;-476561;-292444;-314676;-698877;-949346;-1244356;-1548077;-834619;-335758
Papua New Guinea;5860;9476;-6419;-8646;10704;4723;-21116;-26081;-84417;38578;-3999;-3999
Poland;-62544;-143114;-170903;-106595;-119193;-304973;-159999;-85199;-183471;-178456;-320806;-146976
Puerto Rico;-91587;-134255;-41031;-19579;-48420;-55192;-296;-30450;-145704;-138043;-242701;-489932
North Korea;0;0;0;0;0;0;0;-13932;-17190;-24681;-27013;-27013
Portugal;-545329;-697165;108187;198629;-66894;-147873;149122;173604;178353;92133;-140000;-30001
Paraguay;-70930;-66170;-59110;-46560;-21310;-17340;-31180;-44090;-47150;-117900;-87130;-82780
Fr French Polynesia;3190;3344;5001;4674;3650;-359;-3424;3483;77;-9019;-8016;-5000
Quatar;16393;21061;34368;28387;102097;57517;-10132;29506;213916;914602;604852;200000
Romania;-2001;-2001;-2001;-99999;-200000;-200000;-520001;-580778;-468204;-774651;-300001;-369997
Russia;-1387844;-549722;-296861;614394;1100559;890253;2490121;2374657;1778101;2326672;1800600;912279
Rwanda;-140001;20000;-20000;-20000;-50002;29999;-1374270;1244966;-72601;-79767;-108094;-44998
Saudi Arabia;125989;187007;483318;788719;1383529;716825;-110000;-350000;747996;1073093;1722804;674895
Sudan;0;0;20002;180000;219998;150000;645810;-602679;-546005;-982687;-538145;-250001
Senegal;50002;86522;65586;-134783;-85108;-60291;-77004;-227553;-202487;-218014;-214002;-100001
Singapore;428;-365;5881;14273;137812;119802;297845;321578;92772;721338;317028;135142
Solomon Islands;2359;1461;431;-2416;-3420;-8504;-6682;-5285;-8445;-14256;-7998;-7998
Sierra Leone;0;0;0;0;0;62745;-450000;-150000;500000;60000;-21000;-21000
El Salvador;-24031;-44306;-90977;-164230;-231749;-256685;-265152;-326853;-312786;-285671;-240415;-202694
Somalia;-1328;1910;0;1796103;-454532;-410787;-822004;0;0;-199997;-233405;-200002
Serbia;-88140;-89744;-20651;7680;-10360;-27488;178348;-495902;-276331;-119556;29559;20000
South Sudan;0;0;25000;60000;150000;-416233;-1097076;300000;432000;846611;-100000;-870998
Sao Tome and Principe;-9152;-744;-2509;-1221;-5999;-2190;-5599;-9551;-8400;-3391;-8400;-8401
Suriname;-11050;-13862;-56820;-40352;-31771;-4845;-5195;-10189;-9124;-6485;-5000;-4999
Slovakia;-26427;-57838;-15254;-9696;-34777;-35312;-15108;-2964;1199;-8855;11346;7423
Slovenia;-22059;-14950;17942;34686;68363;32609;-17461;1487;14998;39348;16571;9999
Sweden;80351;130980;18798;88567;29799;134569;156460;58470;141723;262453;253958;200000
Eswatini;-12011;-3966;-11426;-10100;-9310;-2218;-23252;-25847;-47814;-38219;-41764;-41764
Seychelles;-984;-1110;168;-299;-3186;-5196;503;-255;2634;-2725;-1000;-1000
Syrian Arab Republic;-16000;-16000;-81501;-161672;-87001;-146501;-70000;-130000;-379910;370000;-5386986;-2136954
Chad;-5000;-40950;-49050;-175500;-131245;1418;-10374;69444;218966;75000;100000;10000
Togo;-77885;138923;-49999;-100000;50001;-20000;-116499;80000;-33000;-10598;-9994;-9999
Thailand;0;0;395572;287226;339923;504404;-607538;715832;373746;59008;167314;97222
Tajikistan;53337;65780;28033;22800;12417;-31508;-232301;-237255;-144939;-145788;-136974;-99999
Turkmenistan;26783;28147;25346;-5070;-35795;-39702;43633;-64674;-125883;-62717;-50002;-25001
East Timor;0;0;0;-51400;0;0;0;-81574;-27870;-38074;-28030;-26924
Tonga;424;-2881;-7485;-7815;-12375;-10786;-10980;-8435;-7835;-7761;-12992;-3999
Trinidad and Tobago;-56797;-61309;-28896;-29937;-33669;-45387;-32813;-34262;-17490;-18605;-3999;-3999
Tunisia;-142495;-96523;-97065;-72068;85582;48999;140341;-39804;-143045;-40641;-150000;-20000
Turkey;-149999;-180001;-240000;-259998;-70001;-100001;-120000;-99999;-39998;-50000;1763078;1419610
Tanzania;25040;36058;120202;-25040;35062;68117;584095;-400706;-300523;-500853;-250435;-200381
Uganda;124999;50004;-276112;-179999;-120001;200002;109998;-180002;-250002;-500000;-299994;843469
Ukraine;455769;268767;206203;104383;189092;0;74421;-462264;-165445;269541;132154;50001
Uruguay;-6000;-34000;-136000;-60000;-30000;-30000;-20000;-26000;-104000;-50000;-30000;-15000
United States of America;1835728;1556054;2889346;3770881;3382460;3366853;4463754;8859954;5334893;5428756;4961716;4774029
Uzbekistan;161627;446173;70667;72079;-185170;-356031;-322777;-242636;-242297;-140130;-66469;-44314
Saint Vicent and the Grenadines;-9356;-9706;-8448;-7246;-7350;-7183;-8721;-7971;-5298;-5696;-2934;-1000
Venezuela;18870;3160;940;1120;1380;920;-2270;-4540;-22740;-200220;-431040;-3266243
Virgin Islands Us;10270;3245;9407;1961;-3492;-11156;-4618;-3936;-5272;-6267;-4501;-2254
Vietnam;0;0;0;-858895;-327564;-332327;-394236;-216001;-650999;-799969;-399999;-399999
Vanuatu;-652;-1213;776;-435;-4003;-3616;-948;-7385;-2574;-3275;1785;600
Samoa;-3402;-6803;-14914;-18979;-18695;-19526;-13998;-17141;-15641;-15085;-12189;-14013
Yemen;-100000;-245662;-360993;-75000;-50000;-50000;607781;-100000;-112150;-65768;-75010;-150000
South Africa;106550;199359;222659;73316;180998;-118001;852860;639902;788982;862221;919697;727026
Zambia;-35328;-22042;-20000;-25000;10000;-75000;-150000;20000;-150000;-175000;-50000;-40000
Zimbabwe;-15009;-42001;-45547;-152283;99068;84354;-298236;-524671;-697817;-512676;-622997;-584288
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
